File,OwnerName,IsDir,IsOff,IsTen,SecTitle,TransDate,Shares,PPS,ADCode,SharesAfter,DIOwner
0000078003-03-000157,MITCHELL JOHN W,0,1,0,Common Stock,2003-07-30,19044,5.25,A,673366,D
0000078003-03-000183,CANGIALOSI LORETTA V,0,1,0,Common Stock,2003-08-27,3600,5.71,A,46668,D
0000078003-03-000183,CANGIALOSI LORETTA V,0,1,0,Common Stock,2003-08-27,682,30.17,D,45986,D
0000078003-03-000227,CORR PETER B,0,1,0,Common Stock,2003-10-02,17731,9.72,A,62781,D
0000078003-03-000227,CORR PETER B,0,1,0,Common Stock,2003-10-02,5000,22.77,A,67781,D
0000078003-03-000227,CORR PETER B,0,1,0,Common Stock,2003-10-02,32763,22.77,A,100544,D
0000078003-03-000227,CORR PETER B,0,1,0,Common Stock,2003-10-02,17731,16.72,A,118275,D
0000078003-03-000227,CORR PETER B,0,1,0,Common Stock,2003-10-02,3699,30.87,D,114576,D
0000078003-03-000227,CORR PETER B,0,1,0,Common Stock,2003-10-02,399,30.87,D,114177,D
0000078003-03-000227,CORR PETER B,0,1,0,Common Stock,2003-10-02,2616,30.87,D,111561,D
0000078003-03-000227,CORR PETER B,0,1,0,Common Stock,2003-10-02,12079,30.87,D,99482,D
0000078003-03-000228,CORR PETER B,0,1,0,Common Stock,2003-10-06,20109,22.77,A,119591,D
0000078003-03-000228,CORR PETER B,0,1,0,Common Stock,2003-10-06,1597,30.82,D,117994,D
0000078003-03-000233,NORTON ROBERT W,0,1,0,Common Stock,2003-10-15,1800,0,D,249520,D
0000078003-03-000245,NORTON ROBERT W,0,1,0,Common Stock,2003-10-17,620,0,D,248900,D
0000078003-03-000255,CORR PETER B,0,1,0,Common Stock,2003-11-03,37900,31.63,D,80094,D
0000078003-03-000255,CORR PETER B,0,1,0,Common Stock,2003-11-03,35044,31.62,D,45050,D
0000078003-03-000291,KATEN KAREN L,0,1,0,Common Stock,2003-11-18,64800,8.17,A,704478,D
0000078003-03-000291,KATEN KAREN L,0,1,0,Common Stock,2003-11-18,64800,34.37,D,639678,D
0000078003-03-000292,SHEDLARZ DAVID L,0,1,0,Common Stock,2003-11-18,47478,34.16,D,502023,D
0000078003-03-000293,STEERE WILLIAM C JR,1,0,0,Common Stock,2003-11-17,180000,8.17,A,2225470,D
0000078003-03-000293,STEERE WILLIAM C JR,1,0,0,Common Stock,2003-11-17,180000,33.99,D,2045470,D
0000078003-03-000294,KATEN KAREN L,0,1,0,Common Stock,2003-11-20,466,0,D,639212,D
0000078003-03-000304,SHEDLARZ DAVID L,0,1,0,Common Stock,2003-11-26,25000,33.95,D,477023,D
0000078003-03-000305,SHEDLARZ DAVID L,0,1,0,Common Stock,2003-12-01,25275,34.00,D,451748,D
0000078003-03-000307,STEERE WILLIAM C JR,1,0,0,Common Stock,2003-12-02,50000,0,D,1995470,D
0000078003-03-000310,HARDWICK CHARLES L,0,1,0,Common Stock,2003-12-15,325,0,D,20580,D
0000078003-03-000314,MCKINNELL HENRY A,1,1,0,Common Stock,2003-12-12,2250,0,D,1097198,D
0000078003-03-000320,PFIZER INC,0,0,1,Common stock,2003-12-17,645162,2.67,A,3273679,I
0000078003-04-000012,KINDLER JEFFREY B,0,1,0,Common Stock,2004-01-02,1541,35.21,D,25382,D
0000078003-04-000023,STEERE WILLIAM C JR,1,0,0,Common Stock,2004-01-30,29945,36.44,D,1972339,D
0000078003-04-000026,STEERE WILLIAM C JR,1,0,0,Common Stock,2004-02-02,200000,37.15,D,79251,I
0000078003-04-000027,STEERE WILLIAM C JR,1,0,0,Common Stock,2004-02-05,89835,38.43,D,1882504,D
0000078003-04-000031,CANGIALOSI LORETTA V,0,1,0,Common Stock,2004-02-19,2100,5.71,A,48396,D
0000078003-04-000031,CANGIALOSI LORETTA V,0,1,0,Common Stock,2004-02-19,321,37.41,D,48075,D
0000078003-04-000032,MCKINNELL HENRY A,1,1,0,Common Stock,2004-02-25,15725,37.20,D,1149087,D
0000078003-04-000033,CANGIALOSI LORETTA V,0,1,0,Common Stock,2004-02-26,13560,0,A,61696,D
0000078003-04-000033,CANGIALOSI LORETTA V,0,1,0,Common Stock,2004-02-26,1175,37.15,D,60521,D
0000078003-04-000034,CORR PETER B,0,1,0,Common Stock,2004-02-26,35460,0,A,80743,D
0000078003-04-000035,HARDWICK CHARLES L,0,1,0,Common Stock,2004-02-26,15480,0,A,36131,D
0000078003-04-000037,KATEN KAREN L,0,1,0,Common Stock,2004-02-26,40680,0,A,682146,D
0000078003-04-000037,KATEN KAREN L,0,1,0,Common Stock,2004-02-26,16049,37.15,D,666097,D
0000078003-04-000038,KINDLER JEFFREY B,0,1,0,Common Stock,2004-02-26,23100,0,A,48600,D
0000078003-04-000039,MCKINNELL HENRY A,1,1,0,Common Stock,2004-02-26,75060,0,A,1224147,D
0000078003-04-000040,MITCHELL JOHN W,0,1,0,Common Stock,2004-02-26,18810,0,A,694677,D
0000078003-04-000041,SHEDLARZ DAVID L,0,1,0,Common Stock,2004-02-26,32760,0,A,486531,D
0000078003-04-000041,SHEDLARZ DAVID L,0,1,0,Common Stock,2004-02-26,12924,37.15,D,473607,D
0000078003-04-000043,LAMATTINA JOHN L,0,1,0,Common Stock,2004-02-26,17910,0,A,299121,D
0000078003-04-000043,LAMATTINA JOHN L,0,1,0,Common Stock,2004-02-26,5633,37.15,D,293488,D
0000078003-04-000045,HARDWICK CHARLES L,0,1,0,Common Stock,2003-08-20,61,30.91,D,20736,D
0000078003-04-000058,CANGIALOSI LORETTA V,0,1,0,Common Stock,2004-03-25,16950,0,A,77592,D
0000078003-04-000059,CORR PETER B,0,1,0,Common Stock,2004-03-25,17730,0,A,98597,D
0000078003-04-000060,HARDWICK CHARLES L,0,1,0,Common Stock,2004-03-25,7740,0,A,43863,D
0000078003-04-000061,KATEN KAREN L,0,1,0,Common Stock,2004-03-25,67800,0,A,736106,D
0000078003-04-000062,KINDLER JEFFREY B,0,1,0,Common Stock,2004-03-25,23100,0,A,71700,D
0000078003-04-000063,LAMATTINA JOHN L,0,1,0,Common Stock,2004-03-25,29850,0,A,324257,D
