Date,Open,High,Low,Close,Adj Close,Volume
1/3/2000,30.419828,30.716318,30.004744,30.241936,13.25762,12873345
1/4/2000,29.648956,29.886148,28.462997,29.115274,12.763708,14208974
1/5/2000,29.293169,30.241936,29.233871,29.589659,12.971672,12981591
1/6/2000,29.648956,31.072105,29.589659,30.657021,13.439583,11115273
1/7/2000,32.258064,33.088234,30.657021,32.732449,14.349422,17962163
1/10/2000,33.206833,33.206833,32.317364,32.673149,14.323425,10413731
1/11/2000,32.495255,33.206833,32.258064,32.258064,14.14146,9747076
1/12/2000,32.732449,33.503323,32.673149,33.325428,14.609376,11423252
1/13/2000,33.147533,35.222961,32.851044,35.104362,15.389235,27705866
1/14/2000,35.519451,35.697342,35.104362,35.104362,15.389235,17055828
1/18/2000,35.222961,35.341557,33.977703,34.629982,15.181272,11459615
1/19/2000,34.867172,35.163662,34.452087,35.104362,15.389235,10596389
1/20/2000,34.867172,34.985767,33.977703,34.526211,15.135786,8411342
1/21/2000,34.689278,34.689278,33.206833,33.266129,14.583378,13022802
1/24/2000,33.206833,33.444023,31.665085,32.613853,14.29743,13734463
1/25/2000,32.732449,33.621918,32.554554,33.088234,14.505394,9903595
1/26/2000,33.028938,33.206833,32.613853,33.088234,14.505394,7728771
1/27/2000,32.791744,33.621918,32.732449,32.732449,14.349422,9058708
1/28/2000,32.732449,33.859108,32.139469,33.384724,14.635372,11834628
1/31/2000,32.258064,34.629982,32.258064,34.333492,15.051296,10634544
2/1/2000,33.740513,35.282257,33.681213,35.104362,15.389235,12345713
2/2/2000,35.045067,35.104362,33.918407,34.155598,14.97331,7527141
2/3/2000,34.214897,34.748577,33.503323,33.799809,14.817338,9268876
2/4/2000,34.274193,34.274193,33.503323,33.918407,14.869324,6965991
2/7/2000,34.037003,35.104362,33.740513,35.104362,15.389235,13399924
2/8/2000,35.163662,35.993832,34.985767,35.875237,15.727167,16190178
2/9/2000,35.697342,35.756641,34.274193,34.274193,15.025294,11812389
2/10/2000,34.629982,34.629982,33.206833,33.206833,14.557384,11148685
2/11/2000,33.740513,33.740513,32.258064,33.206833,14.557384,10721288
2/14/2000,31.842979,33.503323,31.842979,33.206833,14.557384,8846644
2/15/2000,33.266129,34.037003,32.969639,33.740513,14.791342,8255666
2/16/2000,33.206833,33.266129,32.020874,32.020874,14.073093,10407091
2/17/2000,32.376659,32.613853,31.902277,32.258064,14.177341,8953835
2/18/2000,32.258064,32.258064,31.190702,32.258064,14.177341,10871061
2/22/2000,31.724382,32.08017,31.427895,31.783682,13.968854,9207006
